food_category,food_department,food_family,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,promotion_name,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,brand_name,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,store_type,store_city,store_state,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,media_type,cost
Seafood,Seafood,Food,8.37,3.348,3.0,Double Down Sale,S,F,4.0,High School Degree,Bronze,Manual,Y,2.0,$30K - $50K,0.0,Amigo,2.79,7.92,6.92,0.0,1.0,9.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",62.67
Baking Goods,Baking Goods,Food,2.26,0.9718,2.0,Money Savers,M,F,2.0,High School Degree,Bronze,Manual,N,2.0,$30K - $50K,2.0,Plato,1.13,7.95,6.94,0.0,0.0,5.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Cash Register Handout,53.01
Canned Soup,Canned Foods,Food,2.28,0.8436,4.0,Savings Galore,M,F,3.0,Bachelors Degree,Bronze,Management,Y,1.0,$50K - $70K,0.0,Better,0.57,16.9,14.8,1.0,0.0,6.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Street Handout,138.53
Vegetables,Produce,Food,8.49,3.1413,3.0,Sales Galore,S,M,3.0,Partial High School,Normal,Manual,Y,2.0,$10K - $30K,0.0,Ebony,2.83,20.0,18.0,1.0,1.0,31.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Bulk Mail,96.55
Snack Foods,Snack Foods,Food,7.95,3.498,3.0,Go For It,M,F,2.0,Partial High School,Bronze,Manual,Y,3.0,$30K - $50K,2.0,Best Choice,2.65,10.0,8.0,0.0,0.0,30.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,119.3
Hot Beverages,Beverages,Drink,6.8,3.06,4.0,Price Savers,S,M,5.0,Partial High School,Bronze,Professional,Y,3.0,$130K - $150K,0.0,Super,1.7,6.09,3.09,1.0,0.0,14.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Street Handout,115.13
Dairy,Dairy,Food,2.67,1.1214,3.0,Save-It Sale,M,F,4.0,High School Degree,Golden,Professional,Y,3.0,$150K +,3.0,Gorilla,0.89,14.5,12.5,0.0,1.0,19.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",89.37
Hot Beverages,Beverages,Drink,8.61,3.0996,3.0,Weekend Markdown,S,M,5.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,BBB Best,2.87,17.1,15.1,0.0,0.0,34.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",69.63
Eggs,Eggs,Food,1.86,0.8742,2.0,Super Duper Savers,S,F,1.0,Partial High School,Normal,Manual,N,2.0,$10K - $30K,0.0,National,0.93,16.6,14.6,0.0,1.0,8.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Cash Register Handout,129.5
Snack Foods,Snack Foods,Food,9.24,3.9732,4.0,One Day Sale,S,M,2.0,Partial High School,Normal,Skilled Manual,Y,0.0,$10K - $30K,0.0,Fast,2.31,9.02,7.02,1.0,0.0,15.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",85.88
Bathroom Products,Health and Hygiene,Non-Consumable,4.29,1.9734,3.0,Weekend Markdown,S,M,0.0,Graduate Degree,Bronze,Professional,Y,3.0,$130K - $150K,0.0,Bird Call,1.43,18.9,16.8,1.0,0.0,35.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",69.63
Electrical,Household,Non-Consumable,8.84,3.3592,4.0,Price Smashers,M,F,3.0,Partial High School,Silver,Manual,N,2.0,$50K - $70K,2.0,High Quality,2.21,21.3,19.2,0.0,0.0,25.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Product Attachment,138.23
Vegetables,Produce,Food,8.91,3.8313,3.0,One Day Sale,S,F,4.0,Bachelors Degree,Bronze,Management,Y,4.0,$50K - $70K,0.0,Ebony,2.97,17.4,15.3,1.0,0.0,26.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",85.88
Breakfast Foods,Breakfast Foods,Food,4.14,1.863,3.0,Super Savers,M,M,3.0,Bachelors Degree,Bronze,Professional,Y,3.0,$110K - $130K,2.0,Radius,1.38,7.92,5.92,0.0,1.0,34.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Cash Register Handout,71.51
Electrical,Household,Non-Consumable,11.61,4.2957,3.0,Big Promo,M,F,4.0,High School Degree,Golden,Skilled Manual,N,2.0,$30K - $50K,3.0,Denny,3.87,17.4,15.3,0.0,0.0,33.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Radio,98.52
Frozen Desserts,Frozen Foods,Food,11.6,4.872,4.0,High Roller Savings,M,F,1.0,High School Degree,Bronze,Manual,Y,2.0,$30K - $50K,0.0,Carrington,2.9,12.5,10.5,0.0,1.0,11.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",84.16
Snack Foods,Snack Foods,Food,2.46,0.8856,3.0,Cash Register Lottery,S,M,3.0,Bachelors Degree,Bronze,Professional,Y,2.0,$70K - $90K,0.0,Best Choice,0.82,8.71,6.71,0.0,1.0,11.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",55.59
Snack Foods,Snack Foods,Food,8.04,3.2964,3.0,Bag Stuffers,M,M,2.0,High School Degree,Normal,Skilled Manual,N,3.0,$30K - $50K,1.0,Best Choice,2.68,21.6,19.6,1.0,1.0,23.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",126.62
Snack Foods,Snack Foods,Food,5.68,1.988,2.0,One Day Sale,S,M,4.0,Bachelors Degree,Bronze,Professional,Y,2.0,$50K - $70K,0.0,Horatio,2.84,11.1,8.1,0.0,1.0,22.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",117.29
Snack Foods,Snack Foods,Food,8.31,2.9916,3.0,Bye Bye Baby,S,M,3.0,Bachelors Degree,Bronze,Professional,N,4.0,$50K - $70K,0.0,Horatio,2.77,18.7,16.7,0.0,0.0,23.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,90.58
Baking Goods,Baking Goods,Food,9.96,3.1872,3.0,Price Savers,M,M,4.0,Partial High School,Normal,Skilled Manual,Y,2.0,$10K - $30K,4.0,Plato,3.32,16.5,13.5,1.0,1.0,2.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,62.27
Snack Foods,Snack Foods,Food,11.64,3.7248,3.0,Price Savers,S,F,4.0,Partial High School,Bronze,Management,N,1.0,$70K - $90K,0.0,Nationeel,3.88,10.6,8.6,0.0,1.0,28.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio",80.29
Snack Foods,Snack Foods,Food,6.36,2.4168,4.0,Cash Register Lottery,S,M,5.0,Partial College,Bronze,Skilled Manual,Y,2.0,$50K - $70K,0.0,Best Choice,1.59,20.0,18.0,0.0,0.0,28.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",59.86
Pain Relievers,Health and Hygiene,Non-Consumable,6.12,2.0196,4.0,Two Day Sale,M,F,3.0,Bachelors Degree,Bronze,Professional,Y,1.0,$50K - $70K,0.0,Steady,1.53,6.32,4.32,0.0,0.0,33.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,91.28
Beer and Wine,Alcoholic Beverages,Drink,6.8,2.856,4.0,Save-It Sale,M,F,4.0,Bachelors Degree,Normal,Professional,Y,2.0,$10K - $30K,3.0,Portsmouth,1.7,11.2,9.19,1.0,0.0,28.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Daily Paper,81.79
Paper Products,Household,Non-Consumable,2.63,0.8153,1.0,One Day Sale,S,M,1.0,Bachelors Degree,Bronze,Management,N,2.0,$50K - $70K,0.0,Sunset,2.63,13.6,11.6,1.0,0.0,12.0,Small Grocery,Bellingham,WA,28206.0,22271.0,3561.0,2374.0,1.0,0.0,0.0,0.0,0.0,Cash Register Handout,138.96
Meat,Deli,Food,10.56,3.696,3.0,Free For All,M,F,0.0,Partial High School,Bronze,Manual,Y,2.0,$50K - $70K,0.0,Cutting Edge,3.52,12.9,9.89,1.0,1.0,3.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,Product Attachment,143.83
Meat,Deli,Food,5.04,1.8648,2.0,High Roller Savings,S,F,5.0,Bachelors Degree,Bronze,Professional,N,2.0,$50K - $70K,0.0,American,2.52,19.9,18.8,0.0,1.0,13.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,"Daily Paper, Radio, TV",68.15
Fruit,Produce,Food,5.9,2.183,2.0,Save-It Sale,S,M,4.0,Bachelors Degree,Silver,Professional,Y,2.0,$50K - $70K,0.0,Tri-State,2.95,15.2,13.1,0.0,1.0,27.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Daily Paper,81.79
Vegetables,Canned Foods,Food,15.64,5.3176,4.0,Super Wallet Savers,M,M,4.0,Partial High School,Normal,Skilled Manual,Y,1.0,$10K - $30K,4.0,Blue Label,3.91,21.9,20.8,1.0,0.0,33.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Cash Register Handout,140.19
Pizza,Frozen Foods,Food,5.8,2.494,4.0,Money Savers,S,M,5.0,High School Degree,Bronze,Manual,N,4.0,$30K - $50K,0.0,PigTail,1.45,18.7,16.7,0.0,0.0,14.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,"Sunday Paper, Radio, TV",82.61
Dairy,Dairy,Food,3.61,1.6606,1.0,Tip Top Savings,M,F,4.0,Partial High School,Golden,Skilled Manual,N,3.0,$30K - $50K,4.0,Club,3.61,18.8,16.7,1.0,1.0,18.0,Small Grocery,San Francisco,CA,22478.0,15321.0,4294.0,2863.0,1.0,0.0,0.0,0.0,0.0,Daily Paper,135.46
Fruit,Produce,Food,8.31,2.493,3.0,Two Day Sale,M,M,2.0,Partial College,Silver,Manual,Y,4.0,$30K - $50K,2.0,Ebony,2.77,18.5,16.5,1.0,0.0,10.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",112.52
Vegetables,Frozen Foods,Food,3.81,1.524,3.0,Price Slashers,M,M,4.0,High School Degree,Normal,Skilled Manual,Y,4.0,$30K - $50K,3.0,PigTail,1.27,10.2,8.19,1.0,1.0,17.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio, TV",54.11
Snack Foods,Snack Foods,Food,1.1,0.44,2.0,Sales Galore,M,F,2.0,High School Degree,Bronze,Skilled Manual,N,3.0,$30K - $50K,1.0,Fast,0.55,18.6,16.6,1.0,1.0,25.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Product Attachment,149.08
Jams and Jellies,Baking Goods,Food,4.64,1.4384,2.0,You Save Days,S,M,4.0,Bachelors Degree,Bronze,Professional,Y,3.0,$50K - $70K,0.0,Plato,2.32,18.3,17.2,0.0,1.0,30.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Bulk Mail,131.81
Canned Soup,Canned Foods,Food,15.92,4.9352,4.0,Price Savers,S,M,1.0,Graduate Degree,Golden,Professional,Y,1.0,$130K - $150K,0.0,Better,3.98,7.47,5.46,0.0,0.0,8.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Cash Register Handout,128.2
Dairy,Dairy,Food,5.46,2.0202,3.0,Green Light Special,S,M,2.0,Partial High School,Normal,Manual,Y,1.0,$10K - $30K,0.0,Carlson,1.82,8.71,6.71,1.0,1.0,22.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,In-Store Coupon,123.02
Snack Foods,Snack Foods,Food,6.72,3.024,4.0,Shelf Clearing Days,M,M,5.0,Partial College,Golden,Professional,Y,3.0,$130K - $150K,5.0,Fort West,1.68,18.4,15.3,0.0,1.0,17.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio, TV",101.96
Dairy,Dairy,Food,3.36,1.2768,4.0,Bag Stuffers,S,M,3.0,Partial High School,Normal,Skilled Manual,N,2.0,$10K - $30K,0.0,Even Better,0.84,13.1,10.1,1.0,0.0,18.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",126.62
Vegetables,Produce,Food,3.42,1.539,2.0,Double Down Sale,M,M,3.0,Bachelors Degree,Golden,Professional,Y,3.0,$70K - $90K,3.0,High Top,1.71,13.4,11.3,1.0,0.0,22.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,Radio,50.79
Jams and Jellies,Baking Goods,Food,2.44,0.9028,4.0,Weekend Markdown,S,M,0.0,Partial High School,Normal,Manual,N,1.0,$10K - $30K,0.0,CDR,0.61,11.3,10.3,0.0,1.0,33.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",69.63
Dairy,Dairy,Food,11.46,3.5526,3.0,Best Savings,S,M,1.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Club,3.82,14.1,11.1,0.0,1.0,32.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,"Daily Paper, Radio, TV",53.82
Breakfast Foods,Breakfast Foods,Food,10.41,3.6435,3.0,Super Duper Savers,M,M,3.0,Partial High School,Normal,Skilled Manual,Y,1.0,$10K - $30K,0.0,Special,3.47,9.56,6.56,0.0,0.0,25.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Sunday Paper,69.65
Starchy Foods,Starchy Foods,Food,10.17,4.4748,3.0,Sale Winners,M,F,4.0,High School Degree,Normal,Skilled Manual,Y,2.0,$30K - $50K,1.0,Shady Lake,3.39,19.7,18.7,1.0,1.0,9.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,In-Store Coupon,147.35
Plastic Products,Household,Non-Consumable,11.25,5.0625,3.0,Tip Top Savings,M,M,2.0,High School Degree,Bronze,Skilled Manual,Y,4.0,$30K - $50K,2.0,Red Wing,3.75,11.0,9.0,0.0,0.0,31.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Street Handout,142.58
Jams and Jellies,Baking Goods,Food,3.78,1.89,2.0,Save-It Sale,M,M,2.0,Bachelors Degree,Bronze,Professional,Y,3.0,$50K - $70K,1.0,Super,1.89,10.1,8.1,1.0,0.0,24.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",89.37
Side Dishes,Deli,Food,3.66,1.1712,3.0,Two Day Sale,M,F,3.0,Partial College,Bronze,Skilled Manual,Y,4.0,$50K - $70K,2.0,Moms,1.22,21.4,19.3,1.0,1.0,6.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,91.28
Plastic Products,Household,Non-Consumable,7.35,2.352,5.0,Super Savers,M,M,3.0,High School Degree,Golden,Manual,Y,2.0,$30K - $50K,3.0,Cormorant,1.47,20.7,18.7,0.0,0.0,29.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Sunday Paper, Radio",64.99
Snack Foods,Snack Foods,Food,9.54,2.9574,3.0,Price Destroyers,S,F,1.0,Partial High School,Normal,Manual,N,2.0,$10K - $30K,0.0,Horatio,3.18,12.0,9.0,0.0,1.0,31.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,"Sunday Paper, Radio",115.05
Candy,Snacks,Food,8.76,3.2412,3.0,Tip Top Savings,S,F,1.0,High School Degree,Silver,Manual,N,2.0,$30K - $50K,0.0,Musial,2.92,14.6,12.6,0.0,0.0,5.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",54.9
Jams and Jellies,Baking Goods,Food,9.05,4.163,5.0,Super Wallet Savers,S,F,4.0,Bachelors Degree,Golden,Management,Y,4.0,$50K - $70K,0.0,CDR,1.81,7.7,4.69,0.0,1.0,17.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,"Daily Paper, Radio",109.14
Vegetables,Produce,Food,8.13,3.0894,3.0,Green Light Days,S,F,2.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Ebony,2.71,14.6,11.6,0.0,1.0,6.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Street Handout,133.42
Specialty,Produce,Food,3.52,1.0912,2.0,Mystery Sale,S,M,4.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Hermanos,1.76,11.2,9.19,1.0,1.0,23.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Bulk Mail,84.97
Breakfast Foods,Frozen Foods,Food,5.52,2.484,3.0,Two Day Sale,S,M,1.0,Partial College,Bronze,Management,N,1.0,$30K - $50K,0.0,Carrington,1.84,19.7,17.7,1.0,0.0,17.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",149.75
Meat,Deli,Food,3.33,1.5318,3.0,Dollar Cutters,S,F,1.0,Bachelors Degree,Bronze,Management,N,1.0,$50K - $70K,0.0,Moms,1.11,17.3,16.2,1.0,1.0,6.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,TV,66.18
Fruit,Produce,Food,4.94,1.8278,2.0,Sale Winners,M,M,4.0,Graduate Degree,Golden,Professional,Y,3.0,$70K - $90K,3.0,High Top,2.47,13.4,10.3,1.0,1.0,23.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,137.7
Vegetables,Produce,Food,7.28,2.4024,2.0,Price Savers,S,M,2.0,Partial High School,Normal,Skilled Manual,Y,1.0,$10K - $30K,0.0,Tri-State,3.64,12.0,10.0,1.0,1.0,11.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,62.27
Breakfast Foods,Breakfast Foods,Food,2.49,1.1952,3.0,Two for One,M,M,0.0,High School Degree,Bronze,Manual,Y,2.0,$30K - $50K,0.0,Johnson,0.83,10.5,7.5,0.0,1.0,25.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Daily Paper,68.97
Meat,Deli,Food,4.32,1.3392,3.0,Price Winners,M,F,1.0,Bachelors Degree,Bronze,Professional,N,2.0,$70K - $90K,0.0,Cutting Edge,1.44,6.68,5.67,0.0,1.0,34.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Cash Register Handout,95.21
Breakfast Foods,Breakfast Foods,Food,1.72,0.602,2.0,Weekend Markdown,M,M,0.0,Partial High School,Normal,Manual,Y,0.0,$10K - $30K,0.0,Radius,0.86,8.4,7.39,0.0,1.0,2.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",69.63
Meat,Deli,Food,4.83,2.3667,3.0,Tip Top Savings,S,F,4.0,Partial High School,Normal,Manual,Y,0.0,$10K - $30K,0.0,Red Spade,1.61,13.2,12.1,1.0,0.0,33.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",54.9
Breakfast Foods,Breakfast Foods,Food,3.8,1.672,5.0,Cash Register Lottery,M,M,4.0,High School Degree,Golden,Manual,N,4.0,$30K - $50K,4.0,Johnson,0.76,11.1,10.1,0.0,1.0,6.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",59.86
Bread,Baked Goods,Food,13.68,4.6512,4.0,Two for One,M,M,4.0,High School Degree,Golden,Professional,Y,2.0,$90K - $110K,4.0,Fantastic,3.42,6.04,4.03,1.0,1.0,27.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Product Attachment,59.83
Pizza,Frozen Foods,Food,7.12,2.2784,4.0,Go For It,M,F,4.0,Bachelors Degree,Bronze,Professional,Y,2.0,$70K - $90K,0.0,Golden,1.78,19.0,17.0,1.0,0.0,19.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",100.55
Vegetables,Frozen Foods,Food,4.38,2.1462,3.0,Free For All,M,M,4.0,Partial High School,Normal,Manual,Y,0.0,$10K - $30K,3.0,Golden,1.46,8.58,5.57,1.0,0.0,29.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Street Handout,55.18
Electrical,Household,Non-Consumable,9.08,2.9964,4.0,Best Savings,S,M,2.0,Partial High School,Bronze,Skilled Manual,N,2.0,$50K - $70K,0.0,Denny,2.27,21.2,20.2,0.0,0.0,25.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,"Daily Paper, Radio, TV",53.82
Snack Foods,Snack Foods,Food,5.56,2.1128,4.0,Cash Register Lottery,S,F,0.0,Bachelors Degree,Silver,Professional,N,4.0,$50K - $70K,0.0,Fort West,1.39,7.18,6.17,0.0,0.0,14.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,In-Store Coupon,95.78
Candy,Snacks,Food,6.86,2.1266,2.0,Price Winners,M,M,2.0,Partial High School,Normal,Manual,Y,0.0,$10K - $30K,1.0,Gulf Coast,3.43,13.2,10.1,0.0,0.0,5.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Cash Register Handout,95.21
Baking Goods,Baking Goods,Food,10.36,3.5224,4.0,Big Time Discounts,M,M,4.0,High School Degree,Golden,Skilled Manual,Y,3.0,$30K - $50K,4.0,Landslide,2.59,11.3,9.3,0.0,1.0,2.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,In-Store Coupon,59.4
Hygiene,Health and Hygiene,Non-Consumable,2.68,1.1256,4.0,Dollar Days,S,F,2.0,Bachelors Degree,Bronze,Professional,Y,2.0,$50K - $70K,0.0,Steady,0.67,8.43,7.43,0.0,0.0,6.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,"Daily Paper, Radio",138.81
Cleaning Supplies,Household,Non-Consumable,6.72,3.2256,4.0,Bag Stuffers,S,F,4.0,Partial High School,Normal,Manual,N,0.0,$10K - $30K,0.0,Red Wing,1.68,10.4,7.39,1.0,0.0,11.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",126.62
Snack Foods,Snack Foods,Food,5.76,2.88,4.0,Double Down Sale,S,F,1.0,Bachelors Degree,Bronze,Professional,Y,1.0,$110K - $130K,0.0,Fort West,1.44,21.2,19.2,0.0,1.0,32.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,TV,95.74
Fruit,Produce,Food,9.76,3.3184,4.0,High Roller Savings,S,M,0.0,High School Degree,Bronze,Skilled Manual,N,4.0,$50K - $70K,0.0,Tri-State,2.44,13.7,10.6,1.0,1.0,2.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Daily Paper,101.84
Jams and Jellies,Baking Goods,Food,9.9,3.069,5.0,Dollar Cutters,S,F,3.0,High School Degree,Bronze,Skilled Manual,N,2.0,$30K - $50K,0.0,Plato,1.98,19.9,17.8,0.0,0.0,24.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,TV,66.18
Candy,Snacks,Food,1.68,0.6216,3.0,Cash Register Lottery,S,M,0.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Choice,0.56,11.6,8.6,0.0,1.0,33.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,In-Store Coupon,95.78
Pain Relievers,Health and Hygiene,Non-Consumable,7.14,2.9274,3.0,You Save Days,S,M,1.0,Graduate Degree,Bronze,Professional,Y,2.0,$70K - $90K,0.0,Bird Call,2.38,19.0,17.0,1.0,0.0,16.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Bulk Mail,131.81
